TPID,Customer Name,AE Covered,SubSegment,Subsidiary,Sales Territory,Vertical,Vertical Category,AE,Azure Motion,Azure Core Specialist,App Inno,Azure D&AI Specialist,Biz Apps Specialist,Low Code Motion,Low Code Specialist,Modern Work Motion,Modern Work Specialist,Security Specialist,Surface Specialist
11936863,GOLDS GYM,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.311,Media & Entertainment,Fitness,,SMC Acq Azure,DASTENVO,,,DMONCIBAIS,SMC Low Code,CRLEMUS,SMC Grow MW,KITUNNEY,,RENYABRAHAM
11935867,NEWTEK BUSINESS SERVICES,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.B.111,Other - Unsegmented,Other - Unsegmented,,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
1190809,IRVINE COMPANY,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,Real Estate,Real Estate Brokerage,ERJAME,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
11815948,NEUCG,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.B.111,IT Services & Business Advisory,Managed IT Services,,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
11815790,AMERICAN SPECIALTY HEALTH,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,Health Payor,Health Care Insurance,ERJAME,SMC Grow Azure,"MICHELLEKING, GEPAULDI",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,APAULHUS,JASONALV
1181029,NATIONAL WESTERN LIFE INSURANCE COMPANY,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Insurance,Direct Life Insurance Carriers,PASTURGI,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
11803495,VERTEX DATA SCIENCE LTD,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,IT Services & Business Advisory,Managed IT Services,PASTURGI,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
11795895,US Anesthesia Partners,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Health Provider,Private Physicians Practices,CHCAYWOO,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
11755689,BISHOP LIFTING PRODUCTS INC,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.311,Oil & Gas,Oil & Gas,,SMC Acq Azure,DASTENVO,,,DMONCIBAIS,SMC Low Code,CRLEMUS,SMC Grow MW,KITUNNEY,,RENYABRAHAM
11537185,MERIDIANLINK INC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,"At scale SW, data & platforms","At scale SW, data & platforms",ERJAME,SMC Grow Azure,"MICHELLEKING, GEPAULDI",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,APAULHUS,JASONALV
11476775,PROGRESS FINANCIAL,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Banking,Retail Banking,ANSCOBEE,SMC Grow Azure,"MICHELLEKING, KEVCARTER",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
11384098,MARTIN RESOURCE MANAGEMENT,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Oil & Gas,Oil & Gas,PASTURGI,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
11285177,SPARK ENERGY GAS AND ELECTRIC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Power & Utilities,Power & Utilities,CHCAYWOO,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
11242303,PSI SERVICES LLC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,Nonprofit & IGO,Member Organizations,ERJAME,SMC Grow Azure,"MICHELLEKING, GEPAULDI",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,APAULHUS,JASONALV
1112709,BRYAN RESEARCH & ENGINEERING,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.312,Other Professional Services,Structural Engineering Svcs,,SMC Acq Azure,DASTENVO,,,JAWWADBAIG,SMC Low Code,CRLEMUS,SMC Grow MW,KITUNNEY,,RENYABRAHAM
